Type,School Year,County,District,School,Agency Name,Dropout Rate,DataAsOf
DI,20132014,07,0010,000,HEMINGFORD PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,07,0010,000,HEMINGFORD PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,07,0010,000,HEMINGFORD PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,08,0036,000,LYNCH PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,08,0036,000,LYNCH PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,08,0036,000,LYNCH PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,08,0036,000,LYNCH PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,08,0036,000,LYNCH PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,08,0050,000,WEST BOYD SCHOOL DISTRICT,-1.0000,11/09/2012
DI,20112012,08,0050,000,WEST BOYD SCHOOL DISTRICT,-1.0000,11/09/2012
DI,20132014,08,0050,000,WEST BOYD SCHOOL DISTRICT,-1.0000,11/17/2014
DI,20142015,08,0050,000,WEST BOYD SCHOOL DISTRICT,-1.0000,11/13/2015
DI,20152016,08,0050,000,WEST BOYD SCHOOL DISTRICT,-1.0000,12/02/2016
DI,20102011,09,0010,000,AINSWORTH COMMUNITY SCHOOLS,-1.0000,11/09/2012
DI,20112012,09,0010,000,AINSWORTH COMMUNITY SCHOOLS,-1.0000,11/09/2012
DI,20132014,09,0010,000,AINSWORTH COMMUNITY SCHOOLS,-1.0000,11/17/2014
DI,20142015,09,0010,000,AINSWORTH COMMUNITY SCHOOLS,-1.0000,11/13/2015
DI,20152016,09,0010,000,AINSWORTH COMMUNITY SCHOOLS,-1.0000,12/02/2016
DI,20102011,10,0002,000,GIBBON PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,10,0002,000,GIBBON PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,10,0002,000,GIBBON PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,10,0002,000,GIBBON PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,10,0002,000,GIBBON PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,10,0007,000,KEARNEY PUBLIC SCHOOLS,0.0176,11/09/2012
DI,20112012,10,0007,000,KEARNEY PUBLIC SCHOOLS,0.0172,11/09/2012
DI,20132014,10,0007,000,KEARNEY PUBLIC SCHOOLS,0.0071,11/17/2014
DI,20142015,10,0007,000,KEARNEY PUBLIC SCHOOLS,0.0053,11/13/2015
DI,20152016,10,0007,000,KEARNEY PUBLIC SCHOOLS,0.0078,12/02/2016
DI,20102011,10,0009,000,ELM CREEK PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,10,0009,000,ELM CREEK PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,10,0009,000,ELM CREEK PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,10,0009,000,ELM CREEK PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,10,0009,000,ELM CREEK PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,10,0019,000,SHELTON PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,10,0019,000,SHELTON PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,10,0019,000,SHELTON PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,10,0019,000,SHELTON PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,10,0019,000,SHELTON PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,10,0069,000,RAVENNA PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,10,0069,000,RAVENNA PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,10,0069,000,RAVENNA PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,10,0069,000,RAVENNA PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,10,0069,000,RAVENNA PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,10,0105,000,PLEASANTON PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,10,0105,000,PLEASANTON PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,10,0105,000,PLEASANTON PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,10,0105,000,PLEASANTON PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,10,0105,000,PLEASANTON PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,10,0119,000,AMHERST PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,10,0119,000,AMHERST PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,10,0119,000,AMHERST PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,10,0119,000,AMHERST PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,10,0119,000,AMHERST PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,11,0001,000,TEKAMAH-HERMAN COMMUNITY SCHS,-1.0000,11/09/2012
DI,20112012,11,0001,000,TEKAMAH-HERMAN COMMUNITY SCHS,-1.0000,11/09/2012
DI,20132014,11,0001,000,TEKAMAH-HERMAN COMMUNITY SCHS,-1.0000,11/17/2014
DI,20142015,11,0001,000,TEKAMAH-HERMAN COMMUNITY SCHS,-1.0000,11/13/2015
DI,20152016,11,0001,000,TEKAMAH-HERMAN COMMUNITY SCHS,-1.0000,12/02/2016
DI,20102011,11,0014,000,OAKLAND CRAIG PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,11,0014,000,OAKLAND CRAIG PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,11,0014,000,OAKLAND CRAIG PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,11,0014,000,OAKLAND CRAIG PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,11,0014,000,OAKLAND CRAIG PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,11,0020,000,LYONS-DECATUR NORTHEAST SCHS,-1.0000,11/09/2012
DI,20112012,11,0020,000,LYONS-DECATUR NORTHEAST SCHS,-1.0000,11/09/2012
DI,20132014,11,0020,000,LYONS-DECATUR NORTHEAST SCHS,-1.0000,11/17/2014
DI,20142015,11,0020,000,LYONS-DECATUR NORTHEAST SCHS,-1.0000,11/13/2015
DI,20152016,11,0020,000,LYONS-DECATUR NORTHEAST SCHS,-1.0000,12/02/2016
DI,20102011,12,0032,000,RISING CITY PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20102011,12,0056,000,DAVID CITY PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,12,0056,000,DAVID CITY PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,12,0056,000,DAVID CITY PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,12,0056,000,DAVID CITY PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,12,0056,000,DAVID CITY PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,12,0502,000,EAST BUTLER PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,12,0502,000,EAST BUTLER PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,12,0502,000,EAST BUTLER PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,12,0502,000,EAST BUTLER PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,12,0502,000,EAST BUTLER PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,13,0001,000,PLATTSMOUTH COMMUNITY SCHOOLS,-1.0000,11/09/2012
DI,20112012,13,0001,000,PLATTSMOUTH COMMUNITY SCHOOLS,-1.0000,11/09/2012
DI,20132014,13,0001,000,PLATTSMOUTH COMMUNITY SCHOOLS,-1.0000,11/17/2014
DI,20142015,13,0001,000,PLATTSMOUTH COMMUNITY SCHOOLS,-1.0000,11/13/2015
DI,20152016,13,0001,000,PLATTSMOUTH COMMUNITY SCHOOLS,-1.0000,12/02/2016
DI,20102011,13,0022,000,WEEPING WATER PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,13,0022,000,WEEPING WATER PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,13,0022,000,WEEPING WATER PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,13,0022,000,WEEPING WATER PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,13,0022,000,WEEPING WATER PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,13,0032,000,LOUISVILLE PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,13,0032,000,LOUISVILLE PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,13,0032,000,LOUISVILLE PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,13,0032,000,LOUISVILLE PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,13,0032,000,LOUISVILLE PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,13,0056,000,CONESTOGA PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,13,0056,000,CONESTOGA PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,13,0056,000,CONESTOGA PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,13,0056,000,CONESTOGA PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,13,0056,000,CONESTOGA PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,13,0097,000,ELMWOOD-MURDOCK PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,13,0097,000,ELMWOOD-MURDOCK PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,13,0097,000,ELMWOOD-MURDOCK PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,13,0097,000,ELMWOOD-MURDOCK PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,13,0097,000,ELMWOOD-MURDOCK PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,14,0008,000,HARTINGTON PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,14,0008,000,HARTINGTON PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,14,0008,000,HARTINGTON PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,14,0008,000,HARTINGTON NEWCASTLE PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,14,0008,000,HARTINGTON NEWCASTLE PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,14,0045,000,RANDOLPH PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,14,0045,000,RANDOLPH PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,14,0045,000,RANDOLPH PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,14,0045,000,RANDOLPH PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,14,0045,000,RANDOLPH PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,14,0054,000,LAUREL-CONCORD PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,14,0054,000,LAUREL-CONCORD PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,14,0054,000,LAUREL-CONCORD PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,14,0054,000,LAUREL-CONCORD-COLERIDGE SCHOOL,-1.0000,11/13/2015
DI,20152016,14,0054,000,LAUREL-CONCORD-COLERIDGE SCHOOL,-1.0000,12/02/2016
DI,20102011,14,0101,000,WYNOT PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,14,0101,000,WYNOT PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,14,0101,000,WYNOT PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,14,0101,000,WYNOT PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,14,0101,000,WYNOT PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,14,0541,000,COLERIDGE COMMUNITY SCHOOLS,-1.0000,11/09/2012
DI,20112012,14,0541,000,COLERIDGE COMMUNITY SCHOOLS,-1.0000,11/09/2012
DI,20132014,14,0541,000,COLERIDGE COMMUNITY SCHOOLS,-1.0000,11/17/2014
DI,20102011,15,0010,000,CHASE COUNTY SCHOOLS,-1.0000,11/09/2012
DI,20112012,15,0010,000,CHASE COUNTY SCHOOLS,-1.0000,11/09/2012
DI,20132014,15,0010,000,CHASE COUNTY SCHOOLS,-1.0000,11/17/2014
DI,20142015,15,0010,000,CHASE COUNTY SCHOOLS,-1.0000,11/13/2015
DI,20152016,15,0010,000,CHASE COUNTY SCHOOLS,-1.0000,12/02/2016
DI,20102011,15,0536,000,WAUNETA-PALISADE PUBLIC SCHS,-1.0000,11/09/2012
DI,20112012,15,0536,000,WAUNETA-PALISADE PUBLIC SCHS,-1.0000,11/09/2012
DI,20132014,15,0536,000,WAUNETA-PALISADE PUBLIC SCHS,-1.0000,11/17/2014
DI,20142015,15,0536,000,WAUNETA-PALISADE PUBLIC SCHS,-1.0000,11/13/2015
DI,20152016,15,0536,000,WAUNETA-PALISADE PUBLIC SCHS,-1.0000,12/02/2016
DI,20102011,16,0006,000,VALENTINE COMMUNITY SCHOOLS,-1.0000,11/09/2012
DI,20112012,16,0006,000,VALENTINE COMMUNITY SCHOOLS,-1.0000,11/09/2012
DI,20132014,16,0006,000,VALENTINE COMMUNITY SCHOOLS,-1.0000,11/17/2014
DI,20142015,16,0006,000,VALENTINE COMMUNITY SCHOOLS,-1.0000,11/13/2015
DI,20152016,16,0006,000,VALENTINE COMMUNITY SCHOOLS,-1.0000,12/02/2016
DI,20102011,16,0030,000,CODY-KILGORE PUBLIC SCHS,-1.0000,11/09/2012
DI,20112012,16,0030,000,CODY-KILGORE PUBLIC SCHS,-1.0000,11/09/2012
DI,20132014,16,0030,000,CODY-KILGORE PUBLIC SCHS,-1.0000,11/17/2014
DI,20142015,16,0030,000,CODY-KILGORE PUBLIC SCHS,-1.0000,11/13/2015
DI,20152016,16,0030,000,CODY-KILGORE PUBLIC SCHS,-1.0000,12/02/2016
DI,20102011,17,0001,000,SIDNEY PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,17,0001,000,SIDNEY PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,17,0001,000,SIDNEY PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,17,0001,000,SIDNEY PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,17,0001,000,SIDNEY PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,17,0003,000,LEYTON PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,17,0003,000,LEYTON PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,17,0003,000,LEYTON PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,17,0003,000,LEYTON PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,17,0003,000,LEYTON PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,17,0009,000,POTTER-DIX PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,17,0009,000,POTTER-DIX PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,17,0009,000,POTTER-DIX PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,17,0009,000,POTTER-DIX PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,17,0009,000,POTTER-DIX PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,18,0002,000,SUTTON PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,18,0002,000,SUTTON PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,18,0002,000,SUTTON PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,18,0002,000,SUTTON PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,18,0002,000,SUTTON PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,18,0011,000,HARVARD PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,18,0011,000,HARVARD PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,18,0011,000,HARVARD PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,18,0011,000,HARVARD PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,18,0011,000,HARVARD PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,19,0039,000,LEIGH COMMUNITY SCHOOLS,-1.0000,11/09/2012
DI,20112012,19,0039,000,LEIGH COMMUNITY SCHOOLS,-1.0000,11/09/2012
DI,20132014,19,0039,000,LEIGH COMMUNITY SCHOOLS,-1.0000,11/17/2014
DI,20142015,19,0039,000,LEIGH COMMUNITY SCHOOLS,-1.0000,11/13/2015
DI,20152016,19,0039,000,LEIGH COMMUNITY SCHOOLS,-1.0000,12/02/2016
DI,20102011,19,0058,000,CLARKSON PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,19,0058,000,CLARKSON PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,19,0058,000,CLARKSON PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,19,0058,000,CLARKSON PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,19,0058,000,CLARKSON PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,19,0059,000,HOWELLS PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,19,0070,000,HOWELLS-DODGE CONSOLIDATED SCHOOLS,-1.0000,11/17/2014
DI,20142015,19,0070,000,HOWELLS-DODGE CONSOLIDATED SCHOOLS,-1.0000,11/13/2015
DI,20152016,19,0070,000,HOWELLS-DODGE CONSOLIDATED SCHOOLS,-1.0000,12/02/2016
DI,20102011,19,0123,000,SCHUYLER COMMUNITY SCHOOLS,-1.0000,11/09/2012
DI,20112012,19,0123,000,SCHUYLER COMMUNITY SCHOOLS,-1.0000,11/09/2012
DI,20132014,19,0123,000,SCHUYLER COMMUNITY SCHOOLS,0.0244,11/17/2014
DI,20142015,19,0123,000,SCHUYLER COMMUNITY SCHOOLS,0.0195,11/13/2015
DI,20152016,19,0123,000,SCHUYLER COMMUNITY SCHOOLS,0.0259,12/02/2016
DI,20112012,19,2001,000,DODGE-HOWELLS UNIFIED SCHOOL DISTRICT,-1.0000,11/09/2012
DI,20102011,20,0001,000,WEST POINT PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,20,0001,000,WEST POINT PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,20,0001,000,WEST POINT PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,20,0001,000,WEST POINT PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,20,0001,000,WEST POINT PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,20,0020,000,BANCROFT-ROSALIE COMM SCHOOLS,-1.0000,11/09/2012
DI,20112012,20,0020,000,BANCROFT-ROSALIE COMM SCHOOLS,-1.0000,11/09/2012
DI,20132014,20,0020,000,BANCROFT-ROSALIE COMM SCHOOLS,-1.0000,11/17/2014
DI,20142015,20,0020,000,BANCROFT-ROSALIE COMM SCHOOLS,-1.0000,11/13/2015
DI,20152016,20,0020,000,BANCROFT-ROSALIE COMM SCHOOLS,-1.0000,12/02/2016
DI,20102011,20,0030,000,WISNER-PILGER PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,20,0030,000,WISNER-PILGER PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,20,0030,000,WISNER-PILGER PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,20,0030,000,WISNER-PILGER PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,20,0030,000,WISNER-PILGER PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,21,0015,000,ANSELMO-MERNA PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,21,0015,000,ANSELMO-MERNA PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,21,0015,000,ANSELMO-MERNA PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,21,0015,000,ANSELMO-MERNA PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,21,0015,000,ANSELMO-MERNA PUBLIC SCHOOLS,-1.0000,12/02/2016
