Type,School Year,County,District,School,Agency Name,Attendance Rate,DataAsOf
DI,20042005,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.9598,11/09/2012
DI,20052006,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.9666,11/09/2012
DI,20062007,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.9643,11/09/2012
DI,20072008,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.9527,11/09/2012
DI,20082009,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.9550,11/09/2012
DI,20092010,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.9521,11/09/2012
DI,20102011,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.9578,11/09/2012
DI,20112012,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.9597,11/09/2012
DI,20122013,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.9609,07/03/2013
DI,20132014,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.9654,07/07/2014
DI,20142015,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.9617,08/18/2015
DI,20152016,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.9610,12/12/2016
DI,20012002,02,0004,000,VALLEY VIEW PUBLIC SCHOOL,0.9756,11/09/2012
DI,20022003,02,0004,000,VALLEY VIEW PUBLIC SCHOOL,0.9617,11/09/2012
DI,20032004,02,0004,000,VALLEY VIEW PUBLIC SCHOOL,0.9371,11/09/2012
DI,20042005,02,0004,000,VALLEY VIEW PUBLIC SCHOOL,0.9129,11/09/2012
DI,20052006,02,0004,000,VALLEY VIEW PUBLIC SCHOOL,0.9740,11/09/2012
DI,20012002,02,0006,000,CLEARWATER PUBLIC SCHOOLS,,11/09/2012
DI,20022003,02,0006,000,CLEARWATER PUBLIC SCHOOLS,,11/09/2012
DI,20032004,02,0006,000,CLEARWATER PUBLIC SCHOOLS,,11/09/2012
DI,20052006,02,0006,000,CLEARWATER PUBLIC SCHOOLS,,11/09/2012
DI,20012002,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.9602,11/09/2012
DI,20022003,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.9491,11/09/2012
DI,20032004,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.9527,11/09/2012
DI,20042005,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.9579,11/09/2012
DI,20052006,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.9602,11/09/2012
DI,20062007,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.9627,11/09/2012
DI,20072008,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.9620,11/09/2012
DI,20082009,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.9634,11/09/2012
DI,20092010,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.9566,11/09/2012
DI,20102011,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.9641,11/09/2012
DI,20112012,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.9624,11/09/2012
DI,20122013,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.9650,07/03/2013
DI,20132014,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.9682,07/07/2014
DI,20142015,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.9639,08/18/2015
DI,20152016,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.9655,12/12/2016
DI,20012002,02,0018,000,ELGIN PUBLIC SCHOOLS,0.9729,11/09/2012
DI,20022003,02,0018,000,ELGIN PUBLIC SCHOOLS,0.9692,11/09/2012
DI,20032004,02,0018,000,ELGIN PUBLIC SCHOOLS,0.9589,11/09/2012
DI,20042005,02,0018,000,ELGIN PUBLIC SCHOOLS,0.9667,11/09/2012
DI,20052006,02,0018,000,ELGIN PUBLIC SCHOOLS,0.9644,11/09/2012
DI,20062007,02,0018,000,ELGIN PUBLIC SCHOOLS,0.9592,11/09/2012
DI,20072008,02,0018,000,ELGIN PUBLIC SCHOOLS,0.9574,11/09/2012
DI,20082009,02,0018,000,ELGIN PUBLIC SCHOOLS,0.9576,11/09/2012
DI,20092010,02,0018,000,ELGIN PUBLIC SCHOOLS,0.9619,11/09/2012
DI,20102011,02,0018,000,ELGIN PUBLIC SCHOOLS,0.9890,11/09/2012
DI,20112012,02,0018,000,ELGIN PUBLIC SCHOOLS,0.9969,11/09/2012
DI,20122013,02,0018,000,ELGIN PUBLIC SCHOOLS,0.9973,07/03/2013
DI,20132014,02,0018,000,ELGIN PUBLIC SCHOOLS,0.9654,07/07/2014
DI,20142015,02,0018,000,ELGIN PUBLIC SCHOOLS,0.9593,08/18/2015
DI,20152016,02,0018,000,ELGIN PUBLIC SCHOOLS,0.9620,12/12/2016
DI,20012002,02,0035,000,SUNNYSIDE PUBLIC SCHOOL,0.9925,11/09/2012
DI,20022003,02,0035,000,SUNNYSIDE PUBLIC SCHOOL,0.9620,11/09/2012
DI,20032004,02,0035,000,SUNNYSIDE PUBLIC SCHOOL,0.9680,11/09/2012
DI,20042005,02,0035,000,SUNNYSIDE PUBLIC SCHOOL,0.9680,11/09/2012
DI,20052006,02,0035,000,SUNNYSIDE PUBLIC SCHOOL,0.9740,11/09/2012
DI,20012002,02,0049,000,ORCHARD PUBLIC SCHOOLS,,11/09/2012
DI,20022003,02,0049,000,ORCHARD PUBLIC SCHOOLS,,11/09/2012
DI,20032004,02,0049,000,ORCHARD PUBLIC SCHOOLS,,11/09/2012
DI,20052006,02,0049,000,ORCHARD PUBLIC SCHOOLS,,11/09/2012
DI,20012002,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.9656,11/09/2012
DI,20022003,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.9616,11/09/2012
DI,20032004,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.9633,11/09/2012
DI,20042005,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.9655,11/09/2012
DI,20052006,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.9657,11/09/2012
DI,20062007,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.9572,11/09/2012
DI,20072008,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.9637,11/09/2012
DI,20082009,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.9601,11/09/2012
DI,20092010,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.9632,11/09/2012
DI,20102011,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.9632,11/09/2012
DI,20112012,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.9592,11/09/2012
DI,20122013,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.9647,07/03/2013
DI,20132014,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.9603,07/07/2014
DI,20142015,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.9626,08/18/2015
DI,20152016,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.9652,12/12/2016
DI,20012002,03,0012,000,CENTER VALLEY PUBLIC SCHOOL,0.8995,11/09/2012
DI,20022003,03,0012,000,CENTER VALLEY PUBLIC SCHOOL,0.9294,11/09/2012
DI,20032004,03,0012,000,CENTER VALLEY PUBLIC SCHOOL,0.9600,11/09/2012
DI,20042005,03,0012,000,CENTER VALLEY PUBLIC SCHOOL,0.9667,11/09/2012
DI,20012002,03,0032,000,ARTHUR ELEMENTARY SCHOOLS,0.9599,11/09/2012
DI,20022003,03,0032,000,ARTHUR ELEMENTARY SCHOOL,0.9691,11/09/2012
DI,20032004,03,0032,000,ARTHUR ELEMENTARY SCHOOL,0.9591,11/09/2012
DI,20042005,03,0032,000,ARTHUR ELEMENTARY SCHOOL,0.9589,11/09/2012
DI,20052006,03,0032,000,ARTHUR ELEMENTARY SCHOOL,0.9657,11/09/2012
DI,20012002,03,0500,000,ARTHUR COUNTY HIGH SCHOOL,0.9645,11/09/2012
DI,20022003,03,0500,000,ARTHUR COUNTY HIGH SCHOOL,0.9498,11/09/2012
DI,20032004,03,0500,000,ARTHUR COUNTY HIGH SCHOOL,0.9518,11/09/2012
DI,20042005,03,0500,000,ARTHUR COUNTY HIGH SCHOOL,0.9629,11/09/2012
DI,20052006,03,0500,000,ARTHUR COUNTY HIGH SCHOOL,0.9502,11/09/2012
DI,20062007,03,0500,000,ARTHUR COUNTY SCHOOLS,0.9564,11/09/2012
DI,20072008,03,0500,000,ARTHUR COUNTY SCHOOLS,0.9420,11/09/2012
DI,20082009,03,0500,000,ARTHUR COUNTY SCHOOLS,0.9497,11/09/2012
DI,20092010,03,0500,000,ARTHUR COUNTY SCHOOLS,0.9363,11/09/2012
DI,20102011,03,0500,000,ARTHUR COUNTY SCHOOLS,0.9404,11/09/2012
DI,20112012,03,0500,000,ARTHUR COUNTY SCHOOLS,0.9538,11/09/2012
DI,20122013,03,0500,000,ARTHUR COUNTY SCHOOLS,0.9567,07/03/2013
DI,20132014,03,0500,000,ARTHUR COUNTY SCHOOLS,0.9536,07/07/2014
DI,20142015,03,0500,000,ARTHUR COUNTY SCHOOLS,0.9525,08/18/2015
DI,20152016,03,0500,000,ARTHUR COUNTY SCHOOLS,0.9520,12/12/2016
DI,20012002,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,0.9563,11/09/2012
DI,20022003,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,0.9610,11/09/2012
DI,20032004,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,0.9595,11/09/2012
DI,20042005,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,0.9539,11/09/2012
DI,20052006,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,0.9587,11/09/2012
DI,20062007,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,0.9610,11/09/2012
DI,20072008,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,0.9573,11/09/2012
DI,20082009,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,0.9480,11/09/2012
DI,20092010,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,0.9338,11/09/2012
DI,20102011,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,0.9431,11/09/2012
DI,20112012,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,0.9476,11/09/2012
DI,20122013,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,0.9615,07/03/2013
DI,20132014,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,0.9585,07/07/2014
DI,20142015,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,0.9570,08/18/2015
DI,20152016,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,0.9367,12/12/2016
DI,20012002,05,0071,000,SANDHILLS PUBLIC SCHOOLS,0.9615,11/09/2012
DI,20022003,05,0071,000,SANDHILLS PUBLIC SCHOOLS,0.9585,11/09/2012
DI,20032004,05,0071,000,SANDHILLS PUBLIC SCHOOLS,0.9604,11/09/2012
DI,20042005,05,0071,000,SANDHILLS PUBLIC SCHOOLS,0.9614,11/09/2012
DI,20052006,05,0071,000,SANDHILLS PUBLIC SCHOOLS,0.9660,11/09/2012
DI,20062007,05,0071,000,SANDHILLS PUBLIC SCHOOLS,0.9561,11/09/2012
DI,20072008,05,0071,000,SANDHILLS PUBLIC SCHOOLS,0.9631,11/09/2012
DI,20082009,05,0071,000,SANDHILLS PUBLIC SCHOOLS,0.9661,11/09/2012
DI,20092010,05,0071,000,SANDHILLS PUBLIC SCHOOLS,0.9577,11/09/2012
DI,20102011,05,0071,000,SANDHILLS PUBLIC SCHOOLS,0.9630,11/09/2012
DI,20112012,05,0071,000,SANDHILLS PUBLIC SCHOOLS,0.9643,11/09/2012
DI,20122013,05,0071,000,SANDHILLS PUBLIC SCHOOLS,0.9574,07/03/2013
DI,20132014,05,0071,000,SANDHILLS PUBLIC SCHOOLS,0.9599,07/07/2014
DI,20142015,05,0071,000,SANDHILLS PUBLIC SCHOOLS,0.9525,08/18/2015
DI,20152016,05,0071,000,SANDHILLS PUBLIC SCHOOLS,0.9467,12/12/2016
DI,20012002,06,0001,000,BOONE CENTRAL SCHOOLS,0.9727,11/09/2012
DI,20022003,06,0001,000,BOONE CENTRAL SCHOOLS,0.9681,11/09/2012
DI,20032004,06,0001,000,BOONE CENTRAL SCHOOLS,0.9642,11/09/2012
DI,20042005,06,0001,000,BOONE CENTRAL SCHOOLS,0.9656,11/09/2012
DI,20052006,06,0001,000,BOONE CENTRAL SCHOOLS,0.9670,11/09/2012
DI,20062007,06,0001,000,BOONE CENTRAL SCHOOLS,0.9625,11/09/2012
DI,20072008,06,0001,000,BOONE CENTRAL SCHOOLS,0.9575,11/09/2012
DI,20082009,06,0001,000,BOONE CENTRAL SCHOOLS,0.9620,11/09/2012
DI,20092010,06,0001,000,BOONE CENTRAL SCHOOLS,0.9578,11/09/2012
DI,20102011,06,0001,000,BOONE CENTRAL SCHOOLS,0.9638,11/09/2012
DI,20112012,06,0001,000,BOONE CENTRAL SCHOOLS,0.9664,11/09/2012
DI,20122013,06,0001,000,BOONE CENTRAL SCHOOLS,0.9617,07/03/2013
DI,20132014,06,0001,000,BOONE CENTRAL SCHOOLS,0.9637,07/07/2014
DI,20142015,06,0001,000,BOONE CENTRAL SCHOOLS,0.9615,08/18/2015
DI,20152016,06,0001,000,BOONE CENTRAL SCHOOLS,0.9608,12/12/2016
DI,20012002,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOLS,0.9624,11/09/2012
DI,20022003,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOLS,0.9600,11/09/2012
DI,20032004,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOLS,0.9665,11/09/2012
DI,20042005,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOLS,0.9681,11/09/2012
DI,20052006,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOLS,0.9609,11/09/2012
DI,20062007,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOLS,0.9575,11/09/2012
DI,20072008,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOLS,0.9567,11/09/2012
DI,20082009,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOLS,0.9538,11/09/2012
DI,20092010,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOLS,0.9580,11/09/2012
DI,20102011,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOLS,0.9597,11/09/2012
DI,20112012,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOLS,0.9592,11/09/2012
DI,20122013,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOL,0.9552,07/03/2013
DI,20132014,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOL,0.9614,07/07/2014
DI,20012002,06,0009,000,PLUM CENTER PUBLIC SCHOOL,0.9860,11/09/2012
DI,20022003,06,0009,000,PLUM CENTER PUBLIC SCHOOL,,11/09/2012
DI,20012002,06,0017,000,ST EDWARD PUBLIC SCHOOLS,0.9678,11/09/2012
DI,20022003,06,0017,000,ST EDWARD PUBLIC SCHOOLS,0.9621,11/09/2012
DI,20032004,06,0017,000,ST EDWARD PUBLIC SCHOOLS,0.9582,11/09/2012
DI,20042005,06,0017,000,ST EDWARD PUBLIC SCHOOLS,0.9509,11/09/2012
DI,20052006,06,0017,000,ST EDWARD PUBLIC SCHOOLS,0.9608,11/09/2012
DI,20062007,06,0017,000,ST EDWARD PUBLIC SCHOOLS,0.9554,11/09/2012
DI,20072008,06,0017,000,ST EDWARD PUBLIC SCHOOLS,0.9509,11/09/2012
DI,20082009,06,0017,000,ST EDWARD PUBLIC SCHOOLS,0.9589,11/09/2012
DI,20092010,06,0017,000,ST EDWARD PUBLIC SCHOOLS,0.9586,11/09/2012
DI,20102011,06,0017,000,ST EDWARD PUBLIC SCHOOLS,0.9588,11/09/2012
DI,20112012,06,0017,000,ST EDWARD PUBLIC SCHOOLS,0.9702,11/09/2012
DI,20122013,06,0017,000,ST EDWARD PUBLIC SCHOOLS,0.9674,07/03/2013
DI,20132014,06,0017,000,ST EDWARD PUBLIC SCHOOLS,0.9682,07/07/2014
DI,20142015,06,0017,000,ST EDWARD PUBLIC SCHOOLS,0.9686,08/18/2015
DI,20152016,06,0017,000,ST EDWARD PUBLIC SCHOOLS,0.9608,12/12/2016
DI,20012002,06,0020,000,LEADER PUBLIC SCHOOL,0.9842,11/09/2012
DI,20012002,06,0057,000,SHELL CREEK PUBLIC SCHOOL,0.9800,11/09/2012
DI,20022003,06,0057,000,SHELL CREEK PUBLIC SCHOOL,0.9843,11/09/2012
DI,20032004,06,0057,000,SHELL CREEK PUBLIC SCHOOL,0.9929,11/09/2012
DI,20042005,06,0057,000,SHELL CREEK PUBLIC SCHOOL,0.9829,11/09/2012
DI,20052006,06,0057,000,SHELL CREEK PUBLIC SCHOOL,0.9857,11/09/2012
DI,20012002,06,0060,000,SOUTH AKRON PUBLIC SCHOOL,0.9767,11/09/2012
DI,20022003,06,0060,000,SOUTH AKRON PUBLIC SCHOOL,0.9775,11/09/2012
DI,20032004,06,0060,000,SOUTH AKRON PUBLIC SCHOOL,0.9814,11/09/2012
DI,20042005,06,0060,000,SOUTH AKRON PUBLIC SCHOOL,0.9800,11/09/2012
DI,20052006,06,0060,000,SOUTH AKRON PUBLIC SCHOOL,0.9850,11/09/2012
DI,20142015,06,0075,000,RIVERSIDE PUBLIC SCHOOLS,0.9613,08/18/2015
DI,20152016,06,0075,000,RIVERSIDE PUBLIC SCHOOLS,0.9684,12/12/2016
DI,20012002,07,0006,000,ALLIANCE PUBLIC SCHOOLS,0.9513,11/09/2012
DI,20022003,07,0006,000,ALLIANCE PUBLIC SCHOOLS,0.9419,11/09/2012
DI,20032004,07,0006,000,ALLIANCE PUBLIC SCHOOLS,0.9371,11/09/2012
DI,20042005,07,0006,000,ALLIANCE PUBLIC SCHOOLS,0.9370,11/09/2012
